join: [1, 0, [256, 1, [448, 1, 64], [16, 128], []], []]
start: [1, 1, [256, 1, [448, 1, 64], [16, 128], []], [0, [16, 128], [[[1, 0, [48, 25], [0, 0], [446, 0, 0, 1], 0, 64, 1], []], [[0, 1, [-48, -25], [0, 0], [446, 0, 0, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 1, [448, 1, 64], [16, 128], []], [1, [16, 128], [[[1, 0, [47, 25], [-1, 0], [446, 0, 0, 1], 0, 64, 1], []], [[0, 1, [-47, -25], [1, 0], [446, 0, 0, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 1, [448, 1, 64], [16, 128], []], [2, [16, 128], [[[1, 0, [45, 25], [-2, 0], [446, 0, 0, 1], 0, 64, 1], []], [[0, 1, [-45, -25], [2, 0], [446, 0, 0, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 1, [448, 1, 64], [16, 128], []], [3, [16, 128], [[[1, 0, [42, 25], [-3, 0], [446, 0, 0, 1], 0, 64, 1], []], [[0, 1, [-42, -25], [3, 0], [446, 0, 0, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 1, [448, 1, 64], [16, 128], []], [4, [16, 128], [[[1, 0, [38, 25], [-4, 0], [446, 0, 0, 1], 0, 64, 1], []], [[0, 1, [-38, -25], [4, 0], [446, 0, 0, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 1, [448, 1, 64], [16, 128], []], [5, [16, 128], [[[1, 0, [33, 25], [-5, 0], [446, 0, 0, 1], 0, 64, 1], []], [[0, 1, [-33, -25], [5, 0], [446, 0, 0, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 1, [448, 1, 64], [16, 128], []], [6, [16, 128], [[[1, 0, [27, 25], [-6, 0], [446, 0, 0, 1], 0, 64, 1], []], [[0, 1, [-27, -25], [6, 0], [446, 0, 0, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 1, [448, 1, 64], [16, 128], []], [7, [16, 128], [[[1, 0, [20, 25], [-7, 0], [446, 0, 0, 1], 0, 64, 1], []], [[0, 1, [-20, -25], [7, 0], [446, 0, 0, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 1, [448, 1, 64], [16, 128], []], [8, [16, 128], [[[1, 0, [13, 24], [-7, -1], [446, 0, 0, 1], 0, 64, 1], []], [[0, 1, [-13, -24], [7, 1], [446, 0, 0, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 1, [448, 1, 64], [16, 128], []], [9, [16, 128], [[[1, 0, [6, 22], [-7, -2], [446, 0, 0, 1], 0, 64, 1], []], [[0, 1, [-6, -22], [7, 2], [446, 0, 0, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 1, [448, 1, 64], [16, 128], []], [10, [16, 128], [[[1, 0, [-1, 19], [-7, -3], [446, 0, 0, 1], 0, 64, 1], []], [[0, 1, [1, -19], [7, 3], [446, 0, 0, 1], 0, 64, 1], []]]]]
