join: [1, 0, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], []]
start: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [0, [16, 128], [[[1, 0, (-48, 3), (0, 0), [100, 1, 1, 1], 0, 64, 1], []], [[0, 1, (48, -3), (0, 0), [100, 1, 1, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [1, [16, 128], [[[1, 0, (-48, 4), (0, 1), [99, 1, 1, 1], 7, 64, 1], [[0, (1, -1)]]], [[0, 1, (46, -2), (-2, 1), [99, 1, 1, 1], 7, 64, 1], [[0, (1, -1)]]]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [2, [16, 128], [[[1, 0, (-48, 6), (0, 2), [98, 1, 1, 1], 14, 64, 1], [[0, (1, -1)]]], [[0, 1, (42, 0), (-4, 2), [98, 1, 1, 1], 14, 64, 1], [[0, (1, -1)]]]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [3, [16, 128], [[[1, 0, (-48, 9), (0, 3), [97, 1, 1, 1], 21, 64, 1], [[0, (1, -1)]]], [[0, 1, (36, 3), (-6, 3), [97, 1, 1, 1], 21, 64, 1], [[0, (1, -1)]]]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [4, [16, 128], [[[1, 0, (-48, 13), (0, 4), [96, 1, 1, 1], 28, 64, 1], [[0, (1, -1)]]], [[0, 1, (28, 7), (-8, 4), [96, 1, 1, 1], 28, 64, 1], [[0, (1, -1)]]]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [5, [16, 128], [[[1, 0, (-48, 18), (0, 5), [95, 1, 1, 1], 35, 64, 1], [[0, (1, -1)]]], [[0, 1, (18, 12), (-10, 5), [95, 1, 1, 1], 35, 64, 1], [[0, (1, -1)]]]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [6, [16, 128], [[[1, 0, (-48, 24), (0, 6), [94, 1, 1, 1], 42, 64, 1], [[0, (1, -1)]]], [[0, 1, (6, 18), (-12, 6), [94, 1, 1, 1], 42, 64, 1], [[0, (1, -1)]]]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [7, [16, 128], [[[1, 0, (-48, 31), (0, 7), [93, 1, 1, 1], 49, 64, 1], [[0, (1, -1)]]], [[0, 1, (-7, 24), (-13, 6), [93, 1, 1, 1], 49, 64, 1], [[0, (1, -1)]]]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [8, [16, 128], [[[1, 0, (-48, 39), (0, 8), [92, 1, 1, 1], 56, 64, 1], [[0, (1, -1)]]], [[0, 1, (-21, 30), (-14, 6), [92, 1, 1, 1], 56, 64, 1], [[0, (1, -1)]]]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [9, [16, 128], [[[1, 0, (-48, 48), (0, 9), [91, 1, 1, 1], 63, 64, 1], [[0, (1, -1)]]], [[0, 1, (-36, 36), (-15, 6), [91, 1, 1, 1], 63, 64, 1], [[0, (1, -1)]]]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [10, [16, 128], [[[1, 0, (-48, 57), (0, 9), [84, 1, 1, 1], 64, 64, 1], [[0, (1, -1)]]], [[0, 1, (-51, 42), (-15, 6), [84, 1, 1, 1], 64, 64, 1], [[0, (1, -1)]]]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [11, [16, 128], [[[1, 0, (-49, 66), (-1, 9), [76, 1, 1, 1], 64, 64, 1], [[0, (1, -1)]]], [[0, 1, (-66, 49), (-15, 7), [76, 1, 1, 1], 64, 64, 1], [[0, (1, -1)]]]]]]
