join: [1, 0, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], []]
start: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [0, [16, 128], [[[1, 0, (-31, 48), (0, 0), [100, 1, 1, 1], 0, 64, 1], []], [[0, 1, (31, -48), (0, 0), [100, 1, 1, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [1, [16, 128], [[[1, 0, (-31, 47), (0, -1), [100, 1, 1, 1], 0, 64, 1], []], [[0, 1, (31, -47), (0, 1), [100, 1, 1, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [2, [16, 128], [[[1, 0, (-31, 45), (0, -2), [100, 1, 1, 1], 0, 64, 1], []], [[0, 1, (31, -45), (0, 2), [100, 1, 1, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [3, [16, 128], [[[1, 0, (-31, 42), (0, -3), [100, 1, 1, 1], 0, 64, 1], []], [[0, 1, (31, -42), (0, 3), [100, 1, 1, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [4, [16, 128], [[[1, 0, (-31, 38), (0, -4), [100, 1, 1, 1], 0, 64, 1], []], [[0, 1, (31, -38), (0, 4), [100, 1, 1, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [5, [16, 128], [[[1, 0, (-31, 33), (0, -5), [100, 1, 1, 1], 0, 64, 1], []], [[0, 1, (31, -33), (0, 5), [100, 1, 1, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [6, [16, 128], [[[1, 0, (-31, 27), (0, -6), [100, 1, 1, 1], 0, 64, 1], []], [[0, 1, (31, -27), (0, 6), [100, 1, 1, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [7, [16, 128], [[[1, 0, (-30, 21), (1, -6), [100, 1, 1, 1], 0, 64, 1], []], [[0, 1, (30, -21), (-1, 6), [100, 1, 1, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [8, [16, 128], [[[1, 0, (-28, 15), (2, -6), [100, 1, 1, 1], 0, 64, 1], []], [[0, 1, (28, -15), (-2, 6), [100, 1, 1, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [9, [16, 128], [[[1, 0, (-25, 9), (3, -6), [100, 1, 1, 1], 0, 64, 1], []], [[0, 1, (25, -9), (-3, 6), [100, 1, 1, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [10, [16, 128], [[[1, 0, (-21, 3), (4, -6), [100, 1, 1, 1], 0, 64, 1], []], [[0, 1, (21, -3), (-4, 6), [100, 1, 1, 1], 0, 64, 1], []]]]]
commands: [1, 2, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [11, [16, 128], [[[1, 0, (-16, -3), (5, -6), [0, 0, 0, 0], 0, 64, 1], []], [[0, 1, (16, 3), (-5, 6), [0, 0, 0, 0], 0, 64, 1], []]]]]
