join: [1, 0, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], []]
start: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [0, [16, 128], [[[1, 0, (48, 34), (0, 0), [100, 1, 1, 1], 0, 64, 1], []], [[0, 1, (-48, -34), (0, 0), [100, 1, 1, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [1, [16, 128], [[[1, 0, (47, 34), (-1, 0), [100, 1, 1, 1], 0, 64, 1], []], [[0, 1, (-47, -34), (1, 0), [100, 1, 1, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [2, [16, 128], [[[1, 0, (45, 34), (-2, 0), [100, 1, 1, 1], 0, 64, 1], []], [[0, 1, (-45, -34), (2, 0), [100, 1, 1, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [3, [16, 128], [[[1, 0, (42, 34), (-3, 0), [100, 1, 1, 1], 0, 64, 1], []], [[0, 1, (-42, -34), (3, 0), [100, 1, 1, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [4, [16, 128], [[[1, 0, (38, 34), (-4, 0), [100, 1, 1, 1], 0, 64, 1], []], [[0, 1, (-38, -34), (4, 0), [100, 1, 1, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [5, [16, 128], [[[1, 0, (33, 34), (-5, 0), [100, 1, 1, 1], 0, 64, 1], []], [[0, 1, (-33, -34), (5, 0), [100, 1, 1, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [6, [16, 128], [[[1, 0, (28, 33), (-5, -1), [100, 1, 1, 1], 0, 64, 1], []], [[0, 1, (-28, -33), (5, 1), [100, 1, 1, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [7, [16, 128], [[[1, 0, (23, 31), (-5, -2), [100, 1, 1, 1], 0, 64, 1], []], [[0, 1, (-23, -31), (5, 2), [100, 1, 1, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [8, [16, 128], [[[1, 0, (18, 28), (-5, -3), [100, 1, 1, 1], 0, 64, 1], []], [[0, 1, (-18, -28), (5, 3), [100, 1, 1, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [9, [16, 128], [[[1, 0, (13, 24), (-5, -4), [100, 1, 1, 1], 0, 64, 1], []], [[0, 1, (-13, -24), (5, 4), [100, 1, 1, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [10, [16, 128], [[[1, 0, (8, 19), (-5, -5), [100, 1, 1, 1], 0, 64, 1], []], [[0, 1, (-8, -19), (5, 5), [100, 1, 1, 1], 0, 64, 1], []]]]]
commands: [1, 2, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [11, [16, 128], [[[1, 0, (3, 13), (-5, -6), [0, 0, 0, 0], 0, 64, 1], []], [[0, 1, (-3, -13), (5, 6), [0, 0, 0, 0], 0, 64, 1], []]]]]
