join: [1, 0, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], []]
start: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [0, [16, 128], [[[1, 0, (5, -48), (0, 0), [100, 1, 1, 1], 0, 64, 1], []], [[0, 1, (-5, 48), (0, 0), [100, 1, 1, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [1, [16, 128], [[[1, 0, (6, -46), (1, 2), [99, 1, 1, 1], 7, 64, 1], [[0, (-1, -1)]]], [[0, 1, (-6, 46), (-1, -2), [99, 1, 1, 1], 7, 64, 1], [[0, (1, 1)]]]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [2, [16, 128], [[[1, 0, (8, -42), (2, 4), [98, 1, 1, 1], 14, 64, 1], [[0, (-1, -1)]]], [[0, 1, (-8, 42), (-2, -4), [98, 1, 1, 1], 14, 64, 1], [[0, (1, 1)]]]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [3, [16, 128], [[[1, 0, (11, -36), (3, 6), [97, 1, 1, 1], 21, 64, 1], [[0, (-1, -1)]]], [[0, 1, (-11, 36), (-3, -6), [97, 1, 1, 1], 21, 64, 1], [[0, (1, 1)]]]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [4, [16, 128], [[[1, 0, (15, -28), (4, 8), [96, 1, 1, 1], 28, 64, 1], [[0, (-1, -1)]]], [[0, 1, (-15, 28), (-4, -8), [96, 1, 1, 1], 28, 64, 1], [[0, (1, 1)]]]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [5, [16, 128], [[[1, 0, (20, -18), (5, 10), [95, 1, 1, 1], 35, 64, 1], [[0, (-1, -1)]]], [[0, 1, (-20, 18), (-5, -10), [95, 1, 1, 1], 35, 64, 1], [[0, (1, 1)]]]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [6, [16, 128], [[[1, 0, (25, -7), (5, 11), [94, 1, 1, 1], 42, 64, 1], [[0, (-1, -1)]]], [[0, 1, (-25, 7), (-5, -11), [94, 1, 1, 1], 42, 64, 1], [[0, (1, 1)]]]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [7, [16, 128], [[[1, 0, (30, 5), (5, 12), [93, 1, 1, 1], 49, 64, 1], [[0, (-1, -1)]]], [[0, 1, (-30, -5), (-5, -12), [93, 1, 1, 1], 49, 64, 1], [[0, (1, 1)]]]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [8, [16, 128], [[[1, 0, (35, 16), (5, 11), [92, 1, 1, 1], 56, 64, 1], [[0, (-1, 1)]]], [[0, 1, (-35, -16), (-5, -11), [92, 1, 1, 1], 56, 64, 1], [[0, (1, -1)]]]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [9, [16, 128], [[[1, 0, (40, 26), (5, 10), [91, 1, 1, 1], 63, 64, 1], [[0, (-1, 1)]]], [[0, 1, (-40, -26), (-5, -10), [91, 1, 1, 1], 63, 64, 1], [[0, (1, -1)]]]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [10, [16, 128], [[[1, 0, (45, 35), (5, 9), [84, 1, 1, 1], 64, 64, 1], [[0, (-1, 1)]]], [[0, 1, (-45, -35), (-5, -9), [84, 1, 1, 1], 64, 64, 1], [[0, (1, -1)]]]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [11, [16, 128], [[[1, 0, (50, 43), (5, 8), [76, 1, 1, 1], 64, 64, 1], [[0, (-1, 1)]]], [[0, 1, (-50, -43), (-5, -8), [76, 1, 1, 1], 64, 64, 1], [[0, (1, -1)]]]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [12, [16, 128], [[[1, 0, (55, 50), (5, 7), [68, 1, 1, 1], 64, 64, 1], [[0, (-1, 1)]]], [[0, 1, (-55, -50), (-5, -7), [68, 1, 1, 1], 64, 64, 1], [[0, (1, -1)]]]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [13, [16, 128], [[[1, 0, (60, 56), (5, 6), [60, 1, 1, 1], 64, 64, 1], [[0, (-1, 1)]]], [[0, 1, (-60, -56), (-5, -6), [60, 1, 1, 1], 64, 64, 1], [[0, (1, -1)]]]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [14, [16, 128], [[[1, 0, (65, 61), (5, 5), [52, 1, 1, 1], 64, 64, 1], [[0, (-1, 1)]]], [[0, 1, (-65, -61), (-5, -5), [52, 1, 1, 1], 64, 64, 1], [[0, (1, -1)]]]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [15, [16, 128], [[[1, 0, (70, 65), (5, 4), [44, 1, 1, 1], 64, 64, 1], [[0, (-1, 1)]]], [[0, 1, (-70, -65), (-5, -4), [44, 1, 1, 1], 64, 64, 1], [[0, (1, -1)]]]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [16, [16, 128], [[[1, 0, (75, 68), (5, 3), [36, 1, 1, 1], 64, 64, 1], [[0, (-1, 1)]]], [[0, 1, (-75, -68), (-5, -3), [36, 1, 1, 1], 64, 64, 1], [[0, (1, -1)]]]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [17, [16, 128], [[[1, 0, (80, 70), (5, 2), [28, 1, 1, 1], 64, 64, 1], [[0, (-1, 1)]]], [[0, 1, (-80, -70), (-5, -2), [28, 1, 1, 1], 64, 64, 1], [[0, (1, -1)]]]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [18, [16, 128], [[[1, 0, (85, 71), (5, 1), [20, 1, 1, 1], 64, 64, 1], [[0, (-1, 1)]]], [[0, 1, (-85, -71), (-5, -1), [20, 1, 1, 1], 64, 64, 1], [[0, (1, -1)]]]]]]
