join: [1, 0, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], []]
start: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [0, [16, 128], [[[1, 0, (37, 48), (0, 0), [100, 1, 1, 1], 0, 64, 1], []], [[0, 1, (-37, -48), (0, 0), [100, 1, 1, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [1, [16, 128], [[[1, 0, (38, 48), (1, 0), [99, 1, 1, 1], 7, 64, 1], [[0, (-1, -1)]]], [[0, 1, (-38, -48), (-1, 0), [99, 1, 1, 1], 7, 64, 1], [[0, (1, 1)]]]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [2, [16, 128], [[[1, 0, (40, 48), (2, 0), [98, 1, 1, 1], 14, 64, 1], [[0, (-1, -1)]]], [[0, 1, (-40, -48), (-2, 0), [98, 1, 1, 1], 14, 64, 1], [[0, (1, 1)]]]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [3, [16, 128], [[[1, 0, (43, 48), (3, 0), [97, 1, 1, 1], 21, 64, 1], [[0, (-1, -1)]]], [[0, 1, (-43, -48), (-3, 0), [97, 1, 1, 1], 21, 64, 1], [[0, (1, 1)]]]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [4, [16, 128], [[[1, 0, (47, 48), (4, 0), [96, 1, 1, 1], 28, 64, 1], [[0, (-1, -1)]]], [[0, 1, (-47, -48), (-4, 0), [96, 1, 1, 1], 28, 64, 1], [[0, (1, 1)]]]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [5, [16, 128], [[[1, 0, (52, 48), (5, 0), [95, 1, 1, 1], 35, 64, 1], [[0, (-1, -1)]]], [[0, 1, (-52, -48), (-5, 0), [95, 1, 1, 1], 35, 64, 1], [[0, (1, 1)]]]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [6, [16, 128], [[[1, 0, (57, 49), (5, 1), [94, 1, 1, 1], 42, 64, 1], [[0, (-1, -1)]]], [[0, 1, (-57, -49), (-5, -1), [94, 1, 1, 1], 42, 64, 1], [[0, (1, 1)]]]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [7, [16, 128], [[[1, 0, (62, 51), (5, 2), [93, 1, 1, 1], 49, 64, 1], [[0, (-1, -1)]]], [[0, 1, (-62, -51), (-5, -2), [93, 1, 1, 1], 49, 64, 1], [[0, (1, 1)]]]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [8, [16, 128], [[[1, 0, (67, 54), (5, 3), [92, 1, 1, 1], 56, 64, 1], [[0, (-1, -1)]]], [[0, 1, (-67, -54), (-5, -3), [92, 1, 1, 1], 56, 64, 1], [[0, (1, 1)]]]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [9, [16, 128], [[[1, 0, (72, 58), (5, 4), [91, 1, 1, 1], 63, 64, 1], [[0, (-1, -1)]]], [[0, 1, (-72, -58), (-5, -4), [91, 1, 1, 1], 63, 64, 1], [[0, (1, 1)]]]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [10, [16, 128], [[[1, 0, (77, 63), (5, 5), [84, 1, 1, 1], 64, 64, 1], [[0, (-1, -1)]]], [[0, 1, (-77, -63), (-5, -5), [84, 1, 1, 1], 64, 64, 1], [[0, (1, 1)]]]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [100, 1, 1, 1]], [11, [16, 128], [[[1, 0, (82, 69), (5, 6), [76, 1, 1, 1], 64, 64, 1], [[0, (-1, -1)]]], [[0, 1, (-82, -69), (-5, -6), [76, 1, 1, 1], 64, 64, 1], [[0, (1, 1)]]]]]]
