join: [1, 0, [256, 0, [512, 1, 64], [16, 128], [1, 1, 1, 1]], []]
start: [1, 1, [256, 0, [512, 1, 64], [16, 128], [1, 1, 1, 1]], [0, [16, 128], [[[1, 0, (37, -48), (0, 0), [1, 1, 1, 1], 0, 64, 1], []], [[0, 1, (-37, 48), (0, 0), [1, 1, 1, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [1, 1, 1, 1]], [1, [16, 128], [[[1, 0, (36, -46), (-1, 2), [0, 1, 1, 1], 7, 64, 1], [[0, (1, -1)]]], [[0, 1, (-38, 48), (-1, 0), [0, 1, 1, 1], 7, 64, 1], [[0, (1, -1)]]]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [1, 1, 1, 1]], [2, [16, 128], [[[1, 0, (35, -43), (-1, 3), [0, 1, 1, 1], 6, 64, 1], []], [[0, 1, (-39, 47), (-1, -1), [0, 1, 1, 1], 6, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [1, 1, 1, 1]], [3, [16, 128], [[[1, 0, (34, -39), (-1, 4), [0, 1, 1, 1], 5, 64, 1], []], [[0, 1, (-40, 45), (-1, -2), [0, 1, 1, 1], 5, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [1, 1, 1, 1]], [4, [16, 128], [[[1, 0, (33, -34), (-1, 5), [0, 1, 1, 1], 4, 64, 1], []], [[0, 1, (-41, 42), (-1, -3), [0, 1, 1, 1], 4, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [1, 1, 1, 1]], [5, [16, 128], [[[1, 0, (32, -28), (-1, 6), [0, 1, 1, 1], 3, 64, 1], []], [[0, 1, (-42, 38), (-1, -4), [0, 1, 1, 1], 3, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [1, 1, 1, 1]], [6, [16, 128], [[[1, 0, (30, -22), (-2, 6), [0, 1, 1, 1], 2, 64, 1], []], [[0, 1, (-42, 34), (0, -4), [0, 1, 1, 1], 2, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [1, 1, 1, 1]], [7, [16, 128], [[[1, 0, (27, -16), (-3, 6), [0, 1, 1, 1], 1, 64, 1], []], [[0, 1, (-41, 30), (1, -4), [0, 1, 1, 1], 1, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [1, 1, 1, 1]], [8, [16, 128], [[[1, 0, (23, -10), (-4, 6), [0, 1, 1, 1], 0, 64, 1], []], [[0, 1, (-39, 26), (2, -4), [0, 1, 1, 1], 0, 64, 1], []]]]]
commands: [1, 1, [256, 0, [512, 1, 64], [16, 128], [1, 1, 1, 1]], [9, [16, 128], [[[1, 0, (18, -4), (-5, 6), [0, 1, 1, 1], 0, 64, 1], []], [[0, 1, (-36, 22), (3, -4), [0, 1, 1, 1], 0, 64, 1], []]]]]
commands: [1, 2, [256, 0, [512, 1, 64], [16, 128], [1, 1, 1, 1]], [10, [16, 128], [[[1, 0, (12, 2), (-6, 6), [0, 0, 0, 0], 0, 64, 1], []], [[0, 1, (-32, 18), (4, -4), [0, 1, 1, 1], 0, 64, 1], []]]]]
